Eventdatum	Lat	Long	rms	Depth (km)	Magnitude (Ml)
20090907	49.755	6.882	0,19	10,00	1,10
20090910	50.314	7.782	0,24	12,60	2,90
20090914	49.186	8.116	0,33	4,90	2,40
20091110	50.507	7.963	0,26	11,70	1,70
20100125	50.088	7.379	0,36	17,00	1,90
20100128	49.711	7.694	0,17	19,80	1,70
20100129	50.059	7.408	0,35	11,10	1,90
20100220	49.535	8.451	0,16	6,60	1,90
20100409	49.145	8.144	0,25	1,40	2,40
20100409	49.147	8.182	0,16	3,10	2,20
20100411	50.361	7.350	0,32	13,90	3,00
20100418	50.356	7.406	0,30	15,60	1,80
20100629	50.070	8.438	0,30	5,30	3,10
20100630	50.092	8.412	0,37	5,70	1,50
20100814	50.170	7.730	0,32	5,60	2,30
20100827	49.860	7.998	0,18	5,30	2,60
20100922	50.175	7.836	0,14	3,00	1,40
20100924	50.121	7.894	0,37	3,30	2,10
20101212	49.174	8.155	0,33	3,00	2,00
20101223	50.010	8.207	0,30	10,10	3,30
20101223	50.050	8.156	0,07	7,00	2,60
